,Proxy IP,Proxy Port,Last Check,Proxy Speed,Uptime,Proxy Country,Anonymity,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,36.93.130.218,66,1 min ago,3391 ms,12%  (93),Indonesia  - Jakarta,Transparent,,,
1,177.43.72.250,3128,1 min ago,4724 ms,4%  (59),Brazil  - Brasília,Transparent,,,
2,200.155.168.70,8080,1 min ago,4105 ms,4%  (231),Brazil  - São Paulo,Transparent,,,
3,36.93.61.193,65432,1 min ago,3604 ms,3%  (181),Indonesia  - Bekasi,Transparent,,,
4,190.14.249.217,999,1 min ago,4520 ms,2%  (316),Colombia  - Bogotá,Transparent,,,
5,187.188.171.73,6969,1 min ago,4328 ms,6%  (621),Mexico  - Veracruz,Transparent,,,
6,212.108.134.10,9090,1 min ago,681 ms,58%  (49),Cyprus,Elite,,,
7,181.78.21.146,999,1 min ago,4313 ms,7%  (49),Colombia  - Barranquilla,Transparent,,,
8,128.92.239.190,8080,2 mins ago,3932 ms,9%  (72),United States  - Glendale,Transparent,,,
9,103.153.154.6,80,2 mins ago,1312 ms,17%  (53),Bangladesh,Transparent,,,
10,181.78.11.218,999,2 mins ago,3661 ms,6%  (152),Colombia  - Guacari,Transparent,,,
11,181.78.11.217,999,2 mins ago,4615 ms,12%  (117),Colombia  - Guacari,Transparent,,,
12,45.186.106.159,999,2 mins ago,3138 ms,6%  (76),Guatemala  - Guatemala City,Transparent,,,
13,181.176.21.217,999,2 mins ago,4045 ms,8%  (55),Peru  - Iquitos,Transparent,,,
14,181.176.20.103,999,2 mins ago,5039 ms,2%  (55),Peru,Transparent,,,
15,103.255.147.102,83,2 mins ago,3845 ms,3%  (49),India  - Hyderabad,Transparent,,,
16,45.236.170.234,999,2 mins ago,2867 ms,11%  (55),Ecuador  - Guayaquil,Transparent,,,
17,176.36.235.47,8087,2 mins ago,698 ms,2%  (289),Ukraine  - Kyiv,Transparent,,,
18,80.78.65.23,8080,2 mins ago,3734 ms,9%  (60),Albania  - Korçë,Transparent,,,
19,190.94.212.76,999,2 mins ago,3576 ms,5%  (89),Venezuela  - Caracas,Transparent,,,
20,68.183.180.222,3128,2 mins ago,5951 ms,2%  (57),Singapore  - Singapore,Transparent,,,
21,192.162.192.148,55443,2 mins ago,3142 ms,6%  (294),Russia  - Uglich,Elite,,,
22,101.255.118.10,3127,2 mins ago,3772 ms,8%  (82),Indonesia  - Pademangan Barat,Transparent,,,
23,114.9.24.214,8080,2 mins ago,5853 ms,2%  (105),Indonesia,Transparent,,,
24,223.16.92.17,80,2 mins ago,1524 ms,16%  (152),Hong Kong,Elite,,,
25,200.39.139.65,999,2 mins ago,3077 ms,5%  (140),Chile,Transparent,,,
26,41.65.0.218,1976,2 mins ago,1957 ms,27%  (101),Egypt  - Cairo,Transparent,,,
27,41.33.203.235,1976,2 mins ago,4410 ms,6%  (79),Egypt  - Cairo,Transparent,,,
28,62.183.96.194,8080,2 mins ago,3164 ms,5%  (318),Russia,Transparent,,,
29,177.75.96.46,3128,2 mins ago,4045 ms,3%  (82),Brazil  - Pato Branco,Transparent,,,
30,45.239.175.19,8080,2 mins ago,489 ms,35%  (52),Brazil  - Lagarto,Elite,,,
31,195.154.172.161,3128,2 mins ago,762 ms,65%  (126),France,Transparent,,,
32,117.54.114.101,80,2 mins ago,2412 ms,24%  (206),Indonesia  - Jakarta,Anonymous,,,
33,138.118.106.237,999,2 mins ago,3149 ms,6%  (106),Guatemala  - Guatemala City,Transparent,,,
34,81.250.223.126,80,2 mins ago,550 ms,92%  (184),France,Elite,,,
35,nan,-1,,,,,,,,
